course_title,subject_catalog,instructors,year_term,term_type,start_date,end_date,start_time,end_time,weekdays,class_number,course_id,consent,enrolled,waitlist,lecture_sunday,lecture_monday,lecture_tuesday,lecture_wednesday,lecture_thursday,lecture_friday,lecture_saturday,description,notes,school,units,cross_registration,department,course_component,instruction_mode,grading_basis,course_requirements,general_education,quantitative_reasoning,divisional_distribution
"Artificial Intelligences: Body, Art, and Technology in Modern Germany",GERMAN  192,William Stewart,2026 Spring,Full Term,2026-01-26,2026-04-29,3:00pm,5:00pm,Wed,14448,220183,No Consent,0/15,0,False,False,False,True,False,False,False,"Recent developments in artificial intelligence—most notably OpenAI’s DALL-E and ChatGPT—have revealed an acute need for critical thinking about the social, aesthetic, and philosophical implications of these technologies. What do they tell us about the difference between the real and the artificial, the mechanical and the organic, or the body and the prosthetic?This course examines how ideas about these topics have developed over the past century alongside discussions of gender, personhood, and reality. We will deepen our notions of both “artifice” and “intelligence"" by tracing a longer history in modernity of creative acts that blur the lines between the human and the machine. With an emphasis on visual material and three artistic media in particular—dance/performance, photography, and moving images—we will consider the human’s changing relationship to technology in the 20th and 21st centuries, and the social and political ramifications of that relationship.The class will take advantage of Harvard’s extensive art collections, with most of our meetings taking place in the Busch-Reisinger Museum and the Harvard Film Archive. This course provides an introduction to visual cultures, German media theory, and gender studies and will be conducted in English. No background in art history is necessary.",Taught in English.,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Germanic Languages & Lit,Lecture,N/A,FAS Letter Graded,N/A,N/A,N/A,Arts and Humanities
Economic Growth,ECON  980KK,Robert Barro,2026 Spring,Full Term,2026-01-26,2026-04-29,3:00pm,5:45pm,Thu,12863,220145,Instructor,0/16,0,False,False,False,False,True,False,False,"This junior seminar will cover theoretical and empirical research on economic growth and rare macroeconomic disasters. Students will be expected to participate actively in class, to prepare a presentation that discusses and critiques one or multiple articles, and to write a final paper that develops new ideas. The class will meet once a week for 2-1/2 hours, and students should consult regularly on their presentation/paper with the professor and teaching fellow.  Intermediate macroeconomics is a prerequisite.",,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Economics,Seminar,N/A,FAS Letter Graded,N/A,N/A,N/A,Social Sciences
Women’s voices in Brazilian culture(s),PORTUG   62,Cristiane Soares,2026 Spring,Full Term,2026-01-26,2026-04-29,1:30pm,2:45pm,Tue Thu,14949,220167,No Consent,0,0,False,False,True,False,True,False,False,"In this advanced language and culture course, students learn how Brazilian women have overcome prejudice and gender bias and adopted a leading role in the Brazilian culture and society. Through a range of texts (e.g. paintings, songs, movies, short stories, novels, TV shows) students will master complex grammatical structures and build on the communicative competence acquired in previous levels, with a particular emphasis on developing their analytical skills and writing proficiency. Students engage critically with themes regarding the representation of gender, race, and sexuality within the Brazilian culture and develop their language skills through class discussions, oral presentations, short essays, and creative writing. This course also includes interactive discussions with Portuguese-speaking guests.",Conducted in Portuguese. May not be taken Pass/Fail but may be taken Sat/Unsat by GSAS students. Not open to auditors.,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Romance Languages & Lit,Lecture,N/A,FAS Letter Graded,N/A,N/A,N/A,Arts and Humanities
“Crafting Effective Scenes”: Design and Structure in Narrative Fiction,ENGLISH     CCDS,William White,2026 Spring,Full Term,2026-01-26,2026-04-29,,,,17099,220143,Instructor,0/12,0,False,False,False,False,False,False,False,"Scenes are the building blocks of fiction. They can make or break your story. In The Scene Book: A Primer for Fiction Writers, Sandra Scofield asserts that “[t]he scene is the most vivid and immediate part of the story, the place where the reader is the most emotionally involved, the part that leaves the reader with images and a memory of the action.” This fiction workshop will explore the elements of dynamic scenes: from lively narrative action to memorable dialogue. We will also study how to organize and structure our scenes within the short story and the novel. This workshop is open to beginning and advanced writers.",,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,English,Workshop,N/A,FAS Letter Graded,N/A,N/A,N/A,Arts and Humanities
Introduction to Quantum Information Science II,QSE  210B,Mikhail Lukin,2026 Spring,Full Term,2026-01-26,2026-04-29,,,,17560,220214,No Consent,0,0,False,False,False,False,False,False,False,"Introduction to quantum information science and quantum computation.  Emphasis on fundamental concepts including qubits and quantum operations, the nature of entanglement and its manipulation, quantum error correction, and various implementation models. Topics include:  basics of quantum information, different models of quantum computing, fundamental quantum algorithms, quantum error correction, and fault tolerance; as well as experimental implementations. Recent developments in the field will be discussed.  Preparation: One semester of quantum mechanics [QSE200, PHY143a, or PHY251A], or MATH 21b (or equivalent) and permission of the instructor.",,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Quantum Science & Engineering,Lecture,N/A,FAS Letter Graded,N/A,N/A,N/A,Science & Engineering & Applied Science
Graduate Research Lakkaraju Lab,BMIF  324DR,Hima Lakkaraju,2026 Spring,Full Term,2026-01-26,2026-04-29,,,,12870,220286,Instructor,0,0,False,False,False,False,False,False,False,Graduate students register for this course when they permanently join a lab. Students should register under the supervising PI.,,Faculty of Arts & Sciences,4,Not Available for Cross Registration,Medical Sciences,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
Graduate Research – Arenberg Lab,SHBT  323DR,Julie Arenberg,2026 Spring,Full Term,2026-01-26,2026-04-29,,,,12871,220287,Instructor,0,0,False,False,False,False,False,False,False,Graduate students register for this course when they permanently join a lab. Students should register under the supervising PI.,,Faculty of Arts & Sciences,4,Not Available for Cross Registration,Medical Sciences,Reading and Research,N/A,FAS Satisfactory/Unsatisfactory,N/A,N/A,N/A,None
The Holocaust,GENED 1118,Kevin Madigan,2026 Spring,Full Term,2026-01-26,2026-04-29,10:30am,11:45am,Tue Thu,16222,212918,No Consent,0,0,False,False,True,False,True,False,False,"Who is responsible for genocide? Through the lens of the Holocaust – perhaps the most-studied genocide of the modern era – we will grapple with the issues of good and evil, blame and responsibility, duty and dissent as they pertain to violence enacted at the personal and state levels. What is the responsibility of “citizens and citizen leaders” in the face of local and global crises brought on by genocide, refugee catastrophes, terror, neo-fascism, etc.? And how do we make meaning out of what seems senseless? The course will address the historical background and context of the Holocaust, competing theories about who was responsible and why, and representations of the Holocaust in film and literature.",This course is open to undergraduate students only.,Faculty of Arts & Sciences,4,Not Available for Cross Registration,General Education,Lecture,N/A,FAS Letter Graded,N/A,"Histories, Societies, Individuals",N/A,None
Speciation: How Do Species Evolve?,OEB  140,James Mallet,2026 Spring,Full Term,2026-01-26,2026-04-29,9:45am,11:45am,Mon Wed,14533,220254,No Consent,0,0,False,True,False,True,False,False,False,"Speciation, or the origin of species, has been a controversial topic ever since Darwin's 1859 book. Even in the genomic era we are now experiencing, speciation is a frequent topic that demands attention. In this course, we will cover in approximate order: History of ideas in speciation; pre-Darwin, Darwin & Wallace, 1930-1940s, recent. What are species? Species concepts and species delimitation. What is needed to understand speciation? The population genetics of gene flow, and genetic divergence via mutation, drift, and selection The concept of reproductive isolation Brief introduction to coalescent theory and the multi-species coalescent The geography of speciation, including allopatric, parapatric, and sympatric speciation Ecological ""races"" and ecological speciation Behavioral divergence and mate choice, including ""reinforcement"" Hybrid inviability and hybrid sterility between species Idealized population genetic models of speciation Chromosomal evolution, genomic rearrangements, and speciation Speciation: caused by natural selection or by genetic drift? Beyond the species: macroevolution and diversification",,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Organismic & Evolutionary Biol,Lecture,N/A,FAS Letter Graded,N/A,N/A,N/A,Science & Engineering & Applied Science
Building a Human Body: From Gene to Cell to Organism,SCRB   50,"Amie Holmes, Richard Lee, Jessica Whited, Jason Buenrostro, Paola Arlotta, Fei Chen",2026 Spring,Full Term,2026-01-26,2026-04-29,10:30am,11:45am,Mon Wed Fri,12169,212882,Instructor,0/60,0,False,True,False,True,False,True,False,"Through a series of lectures, application exercises and laboratory experiments, we will explore how the human body develops on a molecular level from gene to cell to organ. Ever wonder how you can make heart cells beat in a dish? Why can axolotls regenerate their limbs but humans cannot? How do neurites grow? Can we grow a brain in a cell culture dish? Come join us to discover the answers to these questions and more.",,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Stem Cell & Regenerative Biol,Lecture,N/A,FAS Letter Graded,N/A,N/A,N/A,N/A
Sleep,GENED 1038,"Charles Czeisler, Frank Scheer",2026 Spring,Full Term,2026-01-26,2026-04-29,3:00pm,5:00pm,Tue,13087,212896,No Consent,0,0,False,False,True,False,False,False,False,"How does sleep affect your health, your safety, and our society?What is sleep? Why do we sleep? Why don't we sleep? How much sleep do you need? What are circadian rhythms? How do technology and culture impact sleep? This course will explore the role of sleep and circadian timing in maintaining health, improving performance and enhancing safety. We will evaluate the causes and consequences of the epidemic of sleep disorders and deficiency in our society, with particular attention to impacts on brain (learning and memory, mood and cognition) and body (appetite and metabolism, hormones and heart) functions. Personal and public policy approaches to issues such as drowsy students, drowsy drivers and drowsy doctors will be addressed.",,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,General Education,Lecture,N/A,FAS Letter Graded,Course open to Undergraduate Students Only,Science and Technology in Society,N/A,None
The Sexual Life of Colonialism,WOMGEN 1426,,2026 Spring,Full Term,2026-01-26,2026-04-29,12:00pm,2:45pm,Mon,15157,212894,Instructor,0/15,0,False,True,False,False,False,False,False,"Sexuality has long shaped racial and civilizational assessments of what it means to be modern. In this course, we will investigate the role of colonialism and neocolonialism in racial imaginations of gender and sexuality and how these histories shape contemporary understandings of LGBTQ politics, reproductive and sexual rights, and anti-colonial resistance around the world. We will explore histories of sexual control, colonial and racial difference, and marginalized, queer, and trans sexualities in colonial and postcolonial spaces, including parts of West Asia, South Asia, and Sub-Saharan Africa. The course will cover many forms of sexuality, including interracial relationships between colonizer and colonized peoples, questions of sexual violence, queer desires, sexual outcasts like “prostitutes,”  transgender rights, and the politics of gender difference and LGBTQ rights in the postcolonial world.",,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,"Women, Gender & Sexuality",Seminar,N/A,FAS Letter Graded,N/A,N/A,N/A,Social Sciences
Harvard and Native Lands,ENGLISH   90LN,Alan Niles,2026 Spring,Full Term,2026-01-26,2026-04-29,,,,17117,220241,Instructor,0/15,0,False,False,False,False,False,False,False,"Harvard’s beginnings included a promise to educate both “English and Indian youth.” From its inception, however, Harvard’s endowment included Native lands expropriated through war, theft, and coercion. Drawing inspiration from Harvard’s own Legacy of Slavery initiative and the Land-Grab Universities website, this class will conduct original research on Harvard’s long history of involvement with Native communities and Native lands. We will work hands-on with archives at Harvard and other area institutions, developing research skills in navigating collections, reading early handwriting, and interpreting colonial documents. Readings and class activities will engage New England colonialism, the long history of Indigenous dispossession and resistance, and the political struggles of Indigenous communities today. We will closely examine texts including poems, speeches, oral narratives, maps, short stories, and deeds, exploring the centrality of land and environment in colonial and Indigenous histories and literatures. In the second half of our class, we will work collaboratively to design and execute group or individual research projects. Previous iterations of this course in Fall 2022 and Fall 2023 gathered data on Harvard’s land transactions and resulted in a set of student-driven research projects on sites, properties, and individuals connected to Harvard’s Indigenous pasts; our research will build on that work.",,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,English,Seminar,N/A,FAS Letter Graded,N/A,N/A,N/A,Social Sciences
Prediction: The Past and Present of the Future,GENED 1112,Alyssa Goodman,2026 Spring,Full Term,2026-01-26,2026-04-29,3:00pm,5:45pm,Wed,12854,212919,Instructor,0/60,0,False,False,False,True,False,False,False,"How and why do humans try to divine their own futures?Human beings are the only creatures in the animal kingdom properly defined as worriers. We are the only ones who expend tremendous amounts of time, energy, and resources trying (sometimes obsessively) to understand our futures before they happen. While the innate ability of individual people to predict has not changed much in the past few millennia, developments in mathematical and conceptual models have inordinately improved predictive systems. These systems have integrated comparisons to past results and quantified how “certain” we can be about various aspects of the future -- processes that were, in many cases, inconceivable at one point in the past. This course is a coordinated investigation of the history and future of prediction, beginning with Ancient Mesopotamians reading signs in sheep entrails and ending with modern computer simulations for climate, health, wealth, and the fate of our Universe. In this class, you will design your own predictive systems to critically engage with assumptions about how the world works and situate your explorations in a study of how motivations and techniques for divining the future have changed–and not changed–throughout human history.","For more information, please see the Prediction Project website at http://predictionx.org.",Faculty of Arts & Sciences,4,Not Available for Cross Registration,General Education,Lecture,N/A,FAS Letter Graded,N/A,Science and Technology in Society,N/A,None
Women's Voices in Asian and Asian American Literature,WOMGEN 1216,Jung Choi,2026 Spring,Full Term,2026-01-26,2026-04-29,12:00pm,2:45pm,Mon,12873,220298,Instructor,0/15,0,False,True,False,False,False,False,False,"This course introduces students to the writings of both canonical and lesser-known Asian and Asian American women writers. The course especially examines the works by Chinese/ Chinese American, Japanese/ Japanese American, Korean/ Korean American women writers. Moving from the pre-modern to contemporary era, the course will explore a range of women’s voices and experiences as reflected through poetry, fiction, diaries, and epistles. Authors will include Murasaki Shikibu, Ban Zhao, Ono no Komachi, Lady Hyegyŏng, Qui Jin, Higuchi Ichiyo, Kim Wŏn-ju, Han Kang, Yoshimoto Banana, Maxine Hong Kingston, Julie Otsuka, and Min Jin Lee. Topics will include family, marriage, loyalty, motherhood, women’s rights, sexual violence, same- sex desire, censorship, and gender and race politics.",,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,"Women, Gender & Sexuality",Seminar,N/A,FAS Letter Graded,N/A,N/A,N/A,Arts and Humanities
Borders,GENED 1140,Mary Lewis,2026 Spring,Full Term,2026-01-26,2026-04-29,10:30am,11:45am,Tue Thu,14313,215894,Instructor,0/60,0,False,False,True,False,True,False,False,"How have borders been formed historically, and what are the ethics of border construction, defense, expansion or transgression?As a society, we pay particular attention to borders when incidents such as children separated from their asylum-seeking parents or tear-gas being used to deter entry throw the legal divide between two nation states into sharp relief. But seldom do we stop to think about what a border is, or when and why some borders are defended more aggressively than others. This course looks at the modern history of borders, broadly construed, from national boundaries between sovereign countries, to supranational agreements such as the European Union. It considers how borders are erected and dissolved, both legally and materially. And it queries the legal, diplomatic, social, and ethical considerations that ensue from drawing a line between one side and another, and defending that line. We will also consider how actors within societies create internal (often racialized) boundary lines such as “gated communities” or “redlined zones,” that are sometimes extra-legal or even illegal, but have profound effects on the everyday lives of individuals and groups.",,Faculty of Arts & Sciences,4,Not Available for Cross Registration,General Education,Lecture,N/A,FAS Letter Graded,N/A,"Histories, Societies, Individuals",N/A,None
"Ballet, Past and Present",SLAVIC  121,Daria Khitrova,2026 Spring,Full Term,2026-01-26,2026-04-29,,,,15678,215995,No Consent,0,0,False,False,False,False,False,False,False,"This course explores the history of ballet, classical and beyond. We will view and discuss ballets to help us think about what ballet is, and why it has been such an enduring art form in different eras and cultures. Why is it mute and does it have to be? What kind of stories can it tell and how should we read them? How do ballets survive and how do they change in the process? Who makes a ballet: a choreographer or dancers? Or is it, perhaps, a composer, designer, or story writer? Does ballet technique confine the body, as the pioneers of modern dance used to assert, or is it a form of idealist philosophy, the ultimate expression of human freedom, as twentieth-century theorists of ballet have suggested? The works to be studied include Giselle, Sleeping Beauty, Swan Lake, Rite of Spring, Les Noces, Apollo, and others. The course is classroom-only (no dancing component; only watching, reading, and discussing) but, if pandemics permit, will also include a visit to the theater as well as to a ballet class and, possibly, rehearsals. No pre-requisites.",,Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,Slavic Languages & Literatures,Conference Course,N/A,FAS Letter Graded,N/A,N/A,N/A,Arts and Humanities
"The Soviet Empire, 1917-1991",HIST 1980,Terry Martin,2026 Spring,Full Term,2026-01-26,2026-04-29,,,,17631,215999,Instructor,0,0,False,False,False,False,False,False,False,"This course will analyze the Soviet Union as a multi-national state and ask to what extent it functioned as an empire and how its strategies of national rule evolved from the revolution to 1991. It will also analyze Soviet foreign policy towards other Communist states in eastern Europe and in Asia and ask to what extent these were imperial. Finally, it will look at how strategies of domination over non-Russians in the USSR and abroad interacted in the collapse of European Communism.","This course meets the ""Beyond North America"" History Concentration requirement & can be used to fulfill the seminar requirement.",Faculty of Arts & Sciences,4,Available for Harvard Cross Registration,History,Conference Course,N/A,FAS Letter Graded,N/A,N/A,N/A,Social Sciences
